MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Cape Coral-Fort Myers, FL M.S.A.",356.1,4.4,29.5,80.9,241.3,"1,801.20",407,"1,270.80",123.4,FL,Cape Coral
"Cape Girardeau, MO-IL M.S.A.",447.4,3.1,46.8,69.1,328.4,"2,939.60",602,"2,176.00",161.7,MO,Cape Girardeau
"Carson City, NV M.S.A.",314.7,1.8,3.7,36.6,272.6,"1,829.70",336.7,"1,341.20",151.9,NV,Carson City
"Casper, WY M.S.A.",234.3,1.2,39.9,26.6,166.7,"2,513.40",402.2,"1,984.40",126.8,WY,Casper
"Cedar Rapids, IA M.S.A.",189.5,3,18.8,43.7,123.9,"2,350.40",532.3,"1,681.70",136.4,IA,Cedar Rapids
"Chambersburg-Waynesboro, PA M.S.A.",159.5,2,37.8,43,76.8,"1,619.80",307.3,"1,233.10",79.4,PA,Chambersburg
"Charleston, WV M.S.A.",530.3,8.1,52.9,93.1,376.1,"3,597.10",783.4,"2,533.80",279.8,WV,Charleston
"Charleston-North Charleston, SC M.S.A.",399,8.5,39,77.1,274.4,"2,860.10",546,"2,081.40",232.6,SC,Charleston
"Charlottesville, VA M.S.A.",164.6,1.3,35.5,31.5,96.3,"1,514.50",252.2,"1,199.20",63,VA,Charlottesville
"Chattanooga, TN-GA M.S.A.",529.9,5.8,36.1,81.1,406.9,"3,418.30",662.9,"2,476.10",279.3,TN,Chattanooga
"Cheyenne, WY M.S.A.",177.4,7.2,17.5,9.3,143.4,"2,581.90",443.6,"1,997.00",141.3,WY,Cheyenne
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.",377.6,7.1,30.8,137.1,202.6,"2,013.90",328.9,"1,520.20",164.8,IL,Chicago
"Chicago-Naperville-Arlington Heights, IL M.D.",430.3,7.7,32.8,160.8,228.9,"2,077.30",339.2,"1,554.10",183.9,IL,Chicago
"Elgin, IL M.D.",189.4,1.6,28.5,37.2,122,"1,342.20",188.1,"1,112.00",42.1,IL,Elgin
"Gary, IN M.D.",268.9,11.9,19.3,91.7,146,"2,560.70",440.2,"1,916.30",204.2,IN,Gary
"Lake County-Kenosha County, IL-WI M.D.",158.9,2.2,24,46.9,85.9,"1,527.60",254.9,"1,212.20",60.5,IL,Kenosha
"Chico, CA M.S.A.",345.6,3.1,52.4,65.3,224.8,"3,350.40",843.5,"2,086.30",420.6,CA,Chico
"Cincinnati, OH-KY-IN M.S.A.",259.4,4.6,37.2,104.4,113.1,"2,781.00",576.7,"2,077.80",126.5,OH,Cincinnati
"Clarksville, TN-KY M.S.A.",404.7,6,34.7,48.8,315.2,"2,410.70",488.2,"1,815.00",107.5,TN,Clarksville
"Cleveland, TN M.S.A.",483.1,6.6,25.7,40.6,410.2,"3,323.90",615.7,"2,462.00",246.1,TN,Cleveland
"Coeur d'Alene, ID M.S.A.",259.6,1.3,45.4,22,190.9,"2,176.10",465.8,"1,592.90",117.4,ID,Coeur d'Alene
"College Station-Bryan, TX M.S.A.",315.5,4.5,59.9,46.2,204.9,"2,544.70",451.9,"1,982.60",110.1,TX,College Station
"Colorado Springs, CO M.S.A.",359.3,3.7,66,58.1,231.5,"2,849.90",432.9,"2,135.20",281.7,CO,Colorado Springs
"Columbia, MO M.S.A.",430.2,3.4,53.6,90.2,283,"2,684.60",582.6,"1,933.70",168.3,MO,Columbia
"Columbia, SC M.S.A.",650.6,6.9,49.7,99.3,494.7,"3,464.00",627.8,"2,466.40",369.8,SC,Columbia
"Columbus, GA-AL M.S.A.",468.7,6.9,37.3,195.3,229.2,"4,340.70","1,019.80","2,914.00",406.9,GA,Columbus
"Columbus, IN M.S.A.",108.6,1.2,33.3,24.7,49.4,"3,286.70",459.1,"2,582.00",245.6,IN,Columbus
"Columbus, OH M.S.A.2",298,4.7,56.9,134.7,101.7,"2,869.30",588.6,"2,082.90",197.8,OH,Columbus
"Corpus Christi, TX M.S.A.",605.4,5.1,74.6,95.5,430.1,"3,370.50",697.4,"2,521.40",151.7,TX,Corpus Christi
"Corvallis, OR M.S.A.",117.2,2.3,40.2,19.5,55.1,"2,643.60",358.5,"2,195.50",89.6,OR,Corvallis
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",371.7,4.9,34.7,36.6,295.5,"2,374.20",469.3,"1,800.80",104,FL,Fort Walton Beach
"Cumberland, MD-WV M.S.A.",275.2,4,33.1,61.3,176.8,"2,732.00",591.6,"2,068.10",72.3,MD,Cumberland
"Dallas-Fort Worth-Arlington, TX M.S.A.2",337.6,4,41.3,112.4,179.8,"2,554.30",503.1,"1,792.50",258.7,TX,Dallas
"Dallas-Plano-Irving, TX M.D.",330.6,4.4,38.5,129.7,158.1,"2,434.00",495.6,"1,647.90",290.5,TX,Dallas
"Fort Worth-Arlington, TX M.D.2",351.2,3.4,46.8,78.6,222.4,"2,790.90",517.8,"2,077.00",196.2,TX,Fort Worth
"Dalton, GA M.S.A.",265.8,2.1,32.1,20.2,211.4,"2,767.40",618.8,"1,986.10",162.5,GA,Dalton
"Danville, IL M.S.A.",780.3,0,121.4,122.7,536.2,"3,664.80","1,244.40","2,290.20",130.3,IL,Danville
"Daphne-Fairhope-Foley, AL M.S.A.",195.3,1.5,21.5,36.7,135.6,"2,064.50",357.4,"1,627.30",79.8,AL,Daphne
"Davenport-Moline-Rock Island, IA-IL M.S.A.",386.1,2.6,58.7,65.2,259.6,"2,510.30",492.8,"1,883.70",133.8,IA,Davenport
"Dayton, OH M.S.A.",305.4,4.6,58.5,114.1,128.2,"2,919.10",710,"2,028.20",181,OH,Dayton
"Decatur, AL M.S.A.",221.4,3.9,24.2,37.3,155.9,"2,354.90",573.8,"1,631.70",149.4,AL,Decatur
"Decatur, IL M.S.A.",400,5.6,38.1,117.2,239.1,"2,618.70",671.7,"1,869.80",77.2,IL,Decatur
"Deltona-Daytona Beach-Ormond Beach, FL M.S.A.",449,3.9,29,61.5,354.6,"2,861.80",517.4,"2,152.70",191.7,FL,Daytona Beach
"Denver-Aurora-Lakewood, CO M.S.A.3, 4",362.3,3.8,63.6,84.8,210,,,,388.3,CO,Denver
"Des Moines-West Des Moines, IA M.S.A.",367.5,3.4,37.3,54,272.8,"2,349.80",525.3,"1,609.60",215,IA,Des Moines
"Detroit-Warren-Dearborn, MI M.S.A.",498.1,8.9,45.4,120.7,323,"2,008.40",425.3,"1,326.50",256.6,MI,Detroit
"Detroit-Dearborn-Livonia, MI M.D.",901.5,19.3,57.2,247,577.9,"2,935.80",700.9,"1,769.30",465.7,MI,Detroit
"Warren-Troy-Farmington Hills, MI M.D.",220.6,1.6,37.4,33.9,147.7,"1,371.00",235.8,"1,022.40",112.8,MI,Warren
"Dothan, AL M.S.A.",349.6,3.4,35.7,49.9,260.7,"2,554.00",641.4,"1,771.80",140.8,AL,Dothan
"Dover, DE M.S.A.",471,6.3,49.9,67.6,347.2,"2,598.50",366.1,"2,151.60",80.8,DE,Dover
"Dubuque, IA M.S.A.",186.5,5.2,33,28.9,119.5,"2,294.70",721.3,"1,499.20",74.2,IA,Dubuque
"Duluth, MN-WI M.S.A.",242.8,1.4,54.3,29.3,157.8,"3,171.00",558.8,"2,452.60",159.6,MN,Duluth
"East Stroudsburg, PA M.S.A.",191.1,1.2,36.9,62.3,90.7,"2,264.10",511,"1,696.30",56.8,PA,East Stroudsburg
"Eau Claire, WI M.S.A.",129.1,0,21.1,12.1,95.9,"1,669.10",278.7,"1,305.40",85.1,WI,Eau Claire
"El Centro, CA M.S.A.",414.9,1.1,16.1,72.8,324.9,"3,457.80",773.2,"2,330.70",353.8,CA,El Centro
"Elizabethtown-Fort Knox, KY M.S.A.",104.7,3.3,22.4,21.1,58,"1,232.20",272,904.2,56,KY,Elizabethtown
"Elkhart-Goshen, IN M.S.A.",400.1,2,24.6,63.6,309.9,"1,992.40",422.2,"1,398.70",171.5,IN,Elkhart
"Elmira, NY M.S.A.",182.1,2.3,30.9,48.1,100.8,"1,996.40",315,"1,635.60",45.8,NY,Elmira
"El Paso, TX M.S.A.",354.3,2.7,43.7,52.6,255.3,"1,825.10",220.8,"1,491.70",112.6,TX,El Paso
"Enid, OK M.S.A.",284,1.6,48.6,31.4,202.4,"3,163.00",731.1,"2,304.80",127.1,OK,Enid
"Erie, PA M.S.A.",234.4,4,33.8,61.6,135,"2,052.00",444.6,"1,540.80",66.6,PA,Erie
"Eugene, OR M.S.A.",329.7,3.6,43.1,56.6,226.4,"3,285.80",548.6,"2,498.80",238.3,OR,Eugene
"Evansville, IN-KY M.S.A.",336.6,2.5,34.8,80.4,218.8,"2,872.40",521.3,"2,188.00",163.1,IN,Evansville
"Fairbanks, AK M.S.A.",484.7,2.9,45.9,77.4,358.5,"3,946.40",458.9,"3,146.20",341.3,AK,Fairbanks
"Fargo, ND-MN M.S.A.",249.3,2.6,49.8,27.9,169.1,"2,403.40",451.8,"1,766.20",185.4,ND,Fargo
"Farmington, NM M.S.A.",443,4.1,91.9,45.1,301.9,"2,213.30",405.3,"1,631.70",176.4,NM,Farmington
"Flagstaff, AZ M.S.A.",362.6,2.2,61.3,36,263.1,"2,792.30",287.6,"2,441.30",63.4,AZ,Flagstaff
"Flint, MI M.S.A.",581.4,12.9,64.6,107.5,396.3,"2,485.70",707.2,"1,632.90",145.6,MI,Flint
"Florence-Muscle Shoals, AL M.S.A.",305,1.4,36.6,40,227.1,"2,442.40",588.4,"1,681.80",172.2,AL,Florence
"Fond du Lac, WI M.S.A.",214.3,1,51.1,12.8,149.4,"1,380.20",179.9,"1,146.30",54.1,WI,Fond du Lac
"Fort Collins, CO M.S.A.",199.1,2.1,27.4,21.1,148.4,"2,229.00",281.4,"1,819.40",128.2,CO,Fort Collins
"Fort Smith, AR-OK M.S.A.",446,3.2,46.9,52.3,343.6,"3,377.00",728.8,"2,476.40",171.8,AR,Fort Smith
"Fort Wayne, IN M.S.A.",288,6.5,30.5,122.2,128.8,"2,328.30",434.7,"1,782.30",111.3,IN,Fort Wayne
"Fresno, CA M.S.A.",537.3,6.1,32.5,136.9,361.8,"3,439.40",751.3,"2,196.60",491.5,CA,Fresno
"Gadsden, AL M.S.A.",532.3,3.9,63,83.4,382,"3,998.70",878.5,"2,848.70",271.5,AL,Gadsden
"Gainesville, FL M.S.A.",582.9,1.4,67.9,116.9,396.7,"2,790.50",473.6,"2,159.50",157.4,FL,Gainesville
"Gainesville, GA M.S.A.",188.8,2.6,22.2,35.6,128.4,"1,845.10",373.5,"1,328.80",142.9,GA,Gainesville
"Gettysburg, PA M.S.A.",135.6,0,34.4,13.8,87.5,983.9,243.8,705.7,34.4,PA,Gettysburg
"Glens Falls, NY M.S.A.4",170.5,0.8,67.9,9.5,92.4,,173.7,,21.3,NY,Glens Falls
"Goldsboro, NC M.S.A.",494.3,8.8,3.2,106.6,375.7,"3,604.30","1,099.20","2,337.70",167.4,NC,Goldsboro
"Grand Forks, ND-MN M.S.A.",243.8,2.9,60.5,26.3,154.1,"2,108.00",304.2,"1,655.60",148.2,ND,Grand Forks
"Grand Island, NE M.S.A.",215.2,0,59.6,15.2,140.3,"2,185.80",364.9,"1,699.30",121.6,NE,Grand Island
"Grand Junction, CO M.S.A.",327.6,1.3,85.1,25.5,215.7,"2,828.80",448.2,"2,209.70",170.9,CO,Grand Junction
"Grand Rapids-Wyoming, MI M.S.A.",329,1.7,75.1,59.8,192.3,"1,618.20",301.4,"1,236.40",80.4,MI,Grand Rapids
"Grants Pass, OR M.S.A.",243.2,8.3,30.8,42.7,161.3,"2,829.10",503,"1,959.60",366.5,OR,Grants Pass
"Great Falls, MT M.S.A.",250.6,7.3,23,35.1,185.2,"3,487.10",461.2,"2,856.50",169.5,MT,Great Falls
"Greeley, CO M.S.A.",270.6,1.8,47,25.3,196.5,"1,695.90",300.4,"1,260.70",134.8,CO,Greeley
"Green Bay, WI M.S.A.",196.6,1.3,25,24.7,145.7,"1,453.90",217.8,"1,177.30",58.8,WI,Green Bay
"Greensboro-High Point, NC M.S.A.",398.2,5.6,21.1,114.9,256.5,"2,968.60",760,"2,071.60",137,NC,Greensboro
"Greenville, NC M.S.A.",433.9,7.9,31.1,97.2,297.8,"2,817.80",687.1,"2,055.00",75.7,NC,Greenville
"Gulfport-Biloxi-Pascagoula, MS M.S.A.",233.3,6.7,36.8,67.1,122.7,"3,707.40",828.1,"2,665.80",213.5,MS,Gulfport
"Hagerstown-Martinsburg, MD-WV M.S.A.",260.7,4.2,20.7,68.1,167.7,"2,123.70",494.9,"1,515.00",113.7,MD,Hagerstown
"Hammond, LA M.S.A.",769.4,3.9,43.7,141.9,580,"4,770.90","1,374.30","3,086.20",310.3,LA,Hammond
"Hanford-Corcoran, CA M.S.A.",463.9,3.3,41.4,68.8,350.3,"2,607.60",532.7,"1,713.20",361.6,CA,Hanford
"Harrisonburg, VA M.S.A.",145.8,0.8,36.5,11.4,97.2,"1,555.70",302.3,"1,200.90",52.4,VA,Harrisonburg
"Hartford-West Hartford-East Hartford, CT M.S.A.",252.8,4.4,22.5,94.7,131.2,"2,175.40",325.4,"1,637.00",213,CT,Hartford
"Hattiesburg, MS M.S.A.",157.7,4,23.4,32.7,97.6,"3,024.90",790.6,"2,162.80",71.5,MS,Hattiesburg
"Hilton Head Island-Bluffton-Beaufort, SC M.S.A.",349.4,13.5,44.3,73.3,218.3,"2,403.80",497.8,"1,770.50",135.4,SC,Bluffton
"Hinesville, GA M.S.A.",304.4,1.2,10.7,60.9,231.6,"2,270.30",490.6,"1,656.80",122.9,GA,
"Homosassa Springs, FL M.S.A.",308.7,1.4,35.8,28.6,242.8,"1,438.80",301.5,"1,055.60",81.6,FL,Spring
"Houma-Thibodaux, LA M.S.A.",446.1,8,26.4,60.9,350.7,"3,443.60",651.9,"2,643.90",147.8,LA,Houma
"Houston-The Woodlands-Sugar Land, TX M.S.A.3",566.6,6.9,37.3,228.9,293.5,,596.8,,367.2,TX,Houston
"Huntsville, AL M.S.A.",485,6.1,48.2,102.2,328.5,"2,954.60",639,"2,086.40",229.1,AL,Huntsville
"Idaho Falls, ID M.S.A.",183.9,1.4,31.5,6.4,144.6,"1,822.80",342.1,"1,365.50",115.2,ID,Idaho Falls
"Indianapolis-Carmel-Anderson, IN M.S.A.",674.2,8.2,44.1,211.6,410.2,"3,207.80",703.3,"2,172.60",331.9,IN,Indianapolis
"Iowa City, IA M.S.A.",263.4,0.6,53.8,28.1,181,"1,981.60",359.5,"1,549.20",72.9,IA,Iowa City
"Jackson, MI M.S.A.",468.4,3.8,90.8,63.9,310,"2,271.90",370.7,"1,816.00",85.2,MI,Jackson
"Jackson, MS M.S.A.",359.4,11.6,31,152.7,164.1,"2,687.40",682.2,"1,778.00",227.2,MS,Jackson
"Jackson, TN M.S.A.",734.5,6.9,43,112.8,571.8,"3,067.10",848.1,"2,064.70",154.3,TN,Jackson
"Jacksonville, FL M.S.A.",493.7,7.5,44.4,110.1,331.7,"2,951.50",553.4,"2,203.50",194.5,FL,Jacksonville
"Jacksonville, NC M.S.A.",174.6,4.2,25.8,34.3,110.2,"2,539.20",663.9,"1,799.80",75.4,NC,Jacksonville
"Janesville-Beloit, WI M.S.A.",238.7,3.7,29.1,47.1,158.7,"2,347.40",392.4,"1,854.00",101,WI,Janesville
"Jefferson City, MO M.S.A.",258.7,1.3,31.8,38.4,187.2,"1,919.10",346,"1,469.90",103.2,MO,Jefferson City
"Johnson City, TN M.S.A.",302,5.5,19.8,30.3,246.5,"2,428.90",475.1,"1,851.20",102.7,TN,Johnson City
"Johnstown, PA M.S.A.",199.6,4.4,19.1,32.3,143.8,"1,633.90",292,"1,303.00",38.9,PA,Johnstown
"Jonesboro, AR M.S.A.",438.4,3.9,78,54.6,301.9,"3,292.90",772.3,"2,406.70",113.9,AR,Jonesboro
"Joplin, MO M.S.A.",331.3,5.1,52.8,60.1,213.3,"3,875.60",681.9,"2,853.40",340.4,MO,Joplin
"Kahului-Wailuku-Lahaina, HI M.S.A.",337.7,2.4,57,68.5,209.8,"3,641.00",610.6,"2,677.60",352.9,HI,Kahului
"Kalamazoo-Portage, MI M.S.A.",470.6,3.3,87.2,80.4,299.8,"2,508.80",534.9,"1,858.90",114.9,MI,Kalamazoo
"Kansas City, MO-KS M.S.A.",535.8,8.4,56.8,123.3,347.3,"2,945.20",557.4,"1,981.10",406.8,MO,Kansas City
"Kennewick-Richland, WA M.S.A.",182.3,2.9,36,27.5,116,"2,115.70",392.5,"1,602.20",121,WA,Kennewick
"Killeen-Temple, TX M.S.A.",339.5,5.6,67.4,63.5,203,"2,559.90",582,"1,855.20",122.8,TX,Killeen
"Kingsport-Bristol-Bristol, TN-VA M.S.A.",317.7,3.6,36.4,31.2,246.5,"2,401.10",463.1,"1,772.80",165.2,TN,Bristol
"Kingston, NY M.S.A.",169.3,0,53.4,22.8,93,"1,496.60",227.7,"1,229.90",39,NY,Kingston
"Knoxville, TN M.S.A.",412.2,3.4,32.7,65.4,310.7,"2,904.40",600.8,"2,099.50",204.2,TN,Knoxville
"Kokomo, IN M.S.A.",579.7,3.6,30.1,96.4,449.5,"2,309.20",611,"1,598.10",100,IN,Kokomo
"La Crosse-Onalaska, WI-MN M.S.A.",116.5,1.5,21.1,13.8,80.1,"2,179.90",316.6,"1,808.00",55.3,WI,La Crosse
"Lafayette, LA M.S.A.",404.5,7.8,18.4,79.8,298.5,"3,146.10",668.8,"2,253.40",223.8,LA,Lafayette
"Lafayette-West Lafayette, IN M.S.A.",292,1.9,36,59.3,194.8,"2,509.30",503.6,"1,847.30",158.4,IN,Lafayette
"Lake Charles, LA M.S.A.2",628.6,4.4,63.1,95.3,465.9,"4,217.70","1,503.70","2,485.20",228.8,LA,Lake Charles
"Lake Havasu City-Kingman, AZ M.S.A.",201,2,26.9,27.9,144.2,"2,877.00",679.2,"2,027.70",170.2,AZ,Lake Havasu City
"Lakeland-Winter Haven, FL M.S.A.",339.7,3.9,33.1,59.1,243.6,"2,472.10",568,"1,733.20",170.9,FL,Lakeland
"Lancaster, PA M.S.A.",180.4,3,42.5,51.1,83.9,"1,422.00",212.1,"1,164.30",45.5,PA,Lancaster
"Lansing-East Lansing, MI M.S.A.",425,3.6,70.7,70.5,280.2,"1,873.30",423.5,"1,319.30",130.5,MI,Lansing
"Laredo, TX M.S.A.",385.6,2.9,54.2,61.9,266.5,"3,287.40",419.5,"2,746.90",120.9,TX,Laredo
"Las Cruces, NM M.S.A.",261.3,2.8,38.8,31.8,187.9,"3,085.50",561.4,"2,353.50",170.6,NM,Las Cruces
"Las Vegas-Henderson-Paradise, NV M.S.A.",815,6.9,63.3,273,471.8,"2,817.80",868.9,"1,499.10",449.7,NV,Las Vegas
"Lawton, OK M.S.A.",744.2,7.6,46.5,163.2,526.9,"3,636.90","1,008.70","2,422.30",205.9,OK,Lawton
"Lebanon, PA M.S.A.",185.4,2.9,18.3,31.4,132.9,"1,549.10",256.2,"1,208.20",84.7,PA,Lebanon
"Lewiston, ID-WA M.S.A.",213.8,6.4,54.3,28.7,124.5,"3,019.10",647.9,"2,176.60",194.7,ID,Lewiston
"Lewiston-Auburn, ME M.S.A.",138,0,39.2,28.9,69.9,"1,774.10",353.3,"1,349.90",70.9,ME,Lewiston
"Lexington-Fayette, KY M.S.A.",256.3,4,43.7,118.8,89.8,"3,487.40",698.2,"2,538.90",250.3,KY,Lexington
"Lima, OH M.S.A.",388.5,2.9,57.3,97.4,231,"3,369.80",815.2,"2,429.50",125.1,OH,Lima
"Lincoln, NE M.S.A.",330,0.3,65.3,67.1,197.3,"2,954.30",442.9,"2,391.60",119.7,NE,Lincoln
"Little Rock-North Little Rock-Conway, AR M.S.A.",724.7,8.6,52.3,136.7,527.2,"4,125.50",809.2,"3,023.20",293.1,AR,Little Rock
"Logan, UT-ID M.S.A.",61.6,0.8,33.1,2.3,25.5,"1,201.20",208.1,950.3,42.8,UT,Logan
"Longview, TX M.S.A.",430.8,10.1,52.1,71.8,296.8,"3,324.20",749.1,"2,335.10",240.1,TX,Longview
"Longview, WA M.S.A.",301.6,2,65.4,52.7,181.6,"3,182.40",624.8,"2,284.30",273.3,WA,Longview
"Los Angeles-Long Beach-Anaheim, CA M.S.A.",431.9,4.9,35.1,149.1,242.8,"2,308.10",418.5,"1,496.10",393.5,CA,Los Angeles
"Anaheim-Santa Ana-Irvine, CA M.D.",227.4,1.8,24.4,70.4,130.7,"2,148.90",330.6,"1,545.30",273,CA,Anaheim
"Los Angeles-Long Beach-Glendale, CA M.D.",495.7,5.8,38.4,173.7,277.8,"2,357.70",445.9,"1,480.80",431.1,CA,Los Angeles
"Louisville/Jefferson County, KY-IN M.S.A.",422.9,7.5,26.2,143.8,245.4,"3,258.00",683.7,"2,235.80",338.5,KY,Louisville
"Lubbock, TX M.S.A.",825.4,5.5,70.7,147.8,601.4,"4,529.40",966.8,"3,223.10",339.6,TX,Lubbock
"Lynchburg, VA M.S.A.",180.4,3.5,29,27.9,120,"1,455.20",230.3,"1,155.70",69.3,VA,Lynchburg
"Macon-Bibb County, GA M.S.A.",319.9,9.5,24.3,118.5,167.5,"3,578.00",858.6,"2,429.00",290.4,GA,Macon
"Madera, CA M.S.A.",552.6,2.6,24.5,79.9,445.7,"2,384.80",714.9,"1,327.30",342.6,CA,Madera
"Madison, WI M.S.A.",211.9,2.7,29.7,46.8,132.7,"1,956.70",310.1,"1,580.90",65.7,WI,Madison
"Manchester-Nashua, NH M.S.A.",281.4,3.2,46.7,70.3,161.1,"1,923.70",287,"1,547.00",89.8,NH,Manchester
"Manhattan, KS M.S.A.",229.9,2,36.3,25.2,166.3,"1,687.70",378.1,"1,216.90",92.8,KS,Manhattan
"Mankato-North Mankato, MN M.S.A.",152.8,0,37.4,22.3,93.1,"2,324.80",401.8,"1,821.80",101.2,MN,Mankato
"Mansfield, OH M.S.A.",261,2.5,76.6,79.9,102.1,"4,007.80","1,086.20","2,826.10",95.5,OH,Mansfield
"McAllen-Edinburg-Mission, TX M.S.A.2",298.1,3.8,41.1,47.3,205.9,"2,899.90",502.4,"2,266.10",131.4,TX,McAllen
"Medford, OR M.S.A.",323.9,2.3,30.9,38.9,251.7,"3,842.90",495,"3,089.60",258.3,OR,Medford
"Memphis, TN-MS-AR M.S.A.","1,038.00",11.5,52.3,259.9,714.2,"3,959.30","1,047.30","2,644.70",267.4,TN,Memphis
"Merced, CA M.S.A.",621.1,10.1,29.8,96.8,484.4,"2,951.90",685.8,"1,701.60",564.5,CA,Merced
"Miami-Fort Lauderdale-West Palm Beach, FL M.S.A.",510.1,6.6,30.9,156.8,315.8,"3,285.80",536.1,"2,470.00",279.7,FL,Miami
"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL M.D.",405.5,4.5,31,129.6,240.5,"3,029.90",537.3,"2,234.60",258,FL,Fort Lauderdale
"Miami-Miami Beach-Kendall, FL M.D.",610.3,8,27.8,197.5,377,"3,670.50",534.9,"2,811.80",323.9,FL,Miami
"West Palm Beach-Boca Raton-Delray Beach, FL M.D.",459.2,6.8,36.7,115.9,299.8,"2,895.10",536.8,"2,133.60",224.6,FL,West Palm Beach
"Michigan City-La Porte, IN M.S.A.",156.2,3.6,24.2,52.1,76.3,"2,917.40",540.6,"2,217.90",158.9,IN,Michigan City
"Midland, MI M.S.A.",143.9,2.4,66,3.6,71.9,"1,108.00",206.2,881.3,20.4,MI,Midland
"Midland, TX M.S.A.",322.3,5.4,28.2,47.3,241.4,"2,590.80",524.1,"1,891.70",174.9,TX,Midland
"Milwaukee-Waukesha-West Allis, WI M.S.A.",680.1,9.8,36.6,265.8,367.9,"2,759.00",473.4,"1,746.20",539.4,WI,Milwaukee
"Minneapolis-St. Paul-Bloomington, MN-WI M.S.A.",285.2,2.7,40.8,97.1,144.6,"2,367.50",353.6,"1,842.40",171.4,MN,Minneapolis
"Missoula, MT M.S.A.",425.2,3.5,82.7,26.4,312.5,"3,059.00",445.4,"2,475.40",138.2,MT,Missoula
"Mobile, AL M.S.A.5",530.7,10.6,43.9,123.4,352.8,"3,670.40",828.6,"2,587.00",254.8,AL,Mobile
"Modesto, CA M.S.A.",577.3,7.3,30,152.5,387.5,"3,692.20",725.5,"2,274.20",692.4,CA,Modesto
"Monroe, LA M.S.A.2","1,160.00",15.1,41.3,122.2,981.3,"4,701.90","1,179.50","3,356.00",166.3,LA,Monroe
"Monroe, MI M.S.A.",236.3,2,69.6,30.1,134.6,"1,692.60",447.9,"1,154.30",90.4,MI,Monroe
"Montgomery, AL M.S.A.",400.7,10.5,32.3,127.9,230.1,"3,426.90",928.6,"2,221.00",277.4,AL,Montgomery
"Morgantown, WV M.S.A.",267.6,2.2,46.2,38.2,181,"1,670.50",436.4,"1,153.30",80.8,WV,Morgantown
"Morristown, TN M.S.A.",361.8,2.6,31,23.3,304.9,"2,571.90",478.9,"1,918.10",174.8,TN,Morristown
"Mount Vernon-Anacortes, WA M.S.A.",177.5,2.5,29.6,41.1,104.4,"3,877.70",788.2,"2,877.50",212.1,WA,Mount Vernon
"Muskegon, MI M.S.A.",415,4.6,86.4,66.7,257.4,"3,267.00",536.2,"2,572.50",158.2,MI,Muskegon
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC M.S.A.",390.2,14.2,62.7,75.3,237.9,"3,794.80",773.4,"2,745.70",275.7,SC,Myrtle Beach
"Napa, CA M.S.A.",411.1,2.1,43.4,38.5,327.1,"1,811.20",418.8,"1,227.10",165.3,CA,Napa
"Naples-Immokalee-Marco Island, FL M.S.A.",286.7,0.6,29.7,46.7,209.8,"1,347.70",264.9,"1,007.30",75.5,FL,Naples
"Nashville-Davidson–Murfreesboro–Franklin, TN M.S.A.",612.7,5.5,48.1,128.8,430.2,"2,580.20",506.7,"1,929.50",144,TN,Nashville
"New Bern, NC M.S.A.",184.9,5.5,12.5,32.9,134,"2,029.50",600.2,"1,362.70",66.6,NC,New Bern
"New Orleans-Metairie, LA M.S.A.",534.4,16.3,47.7,168,302.5,"3,030.20",532.2,"2,196.40",301.6,LA,New Orleans
"Niles-Benton Harbor, MI M.S.A.",386.1,5.2,86.5,68.4,226,"1,719.20",346.7,"1,293.10",79.4,MI,Niles
"North Port-Sarasota-Bradenton, FL M.S.A.",416.6,4.1,40.4,64.2,307.9,"2,334.20",482.5,"1,751.40",100.2,FL,Sarasota
"Norwich-New London, CT M.S.A.",323.7,4.1,39.2,69.4,211,"2,040.00",297.6,"1,631.70",110.7,CT,Norwich
"Ocala, FL M.S.A.",363.1,2.9,33.2,57.5,269.5,"2,096.60",501.9,"1,496.40",98.3,FL,Ocala
"Ocean City, NJ M.S.A.2",230.2,1.1,22.2,53.8,153.1,"3,288.90",622.9,"2,607.90",58.1,NJ,Ocean
"Odessa, TX M.S.A.","1,070.10",7.6,55.4,126.6,880.5,"4,233.90",801.2,"2,937.70",495.1,TX,Odessa
"Ogden-Clearfield, UT M.S.A.2, 3",157.6,2.3,52.1,25.5,77.6,,,"1,682.20",145.5,UT,Ogden
"Oklahoma City, OK M.S.A.",462,6.8,52.4,107.1,295.6,"3,055.90",702.3,"2,048.40",305.2,OK,Oklahoma City
"Olympia-Tumwater, WA M.S.A.",242.5,1.1,37.4,43.7,160.3,"2,902.70",648.6,"2,010.90",243.2,WA,Olympia
