MSA,ViolentCrime,Murder,Rape,Robbery,AggravatedAssault,PropertyCrime,Burglary,Theft,MotorVehicleTheft,State,City
"Salt Lake City, UT M.S.A.",392.2,2.6,71.6,91.5,226.5,,,"3,574.90",565.2,UT,Salt Lake City
"San Angelo, TX M.S.A.",329.3,3.3,67.5,25,233.4,"3,750.20",731,"2,784.10",235.1,TX,San Angelo
"San Antonio-New Braunfels, TX M.S.A.",436.9,5.4,59,94.2,278.3,"3,952.60",657.4,"2,982.90",312.4,TX,San Antonio
"San Diego-Carlsbad, CA M.S.A.",331.8,2.5,33.3,84.9,211.1,"1,922.10",325.4,"1,296.60",300,CA,San Diego
"San Francisco-Oakland-Hayward, CA M.S.A.",484.9,5.3,30.9,235.2,213.5,"3,600.50",517.6,"2,451.30",631.7,CA,San Francisco
"Oakland-Hayward-Berkeley, CA M.D.",491.1,6.4,29.5,239.7,215.5,"3,361.80",523.4,"2,119.90",718.6,CA,Oakland
"San Francisco-Redwood City-South San Francisco, CA M.D.",520.7,4.1,34.7,256.4,225.5,"4,259.60",524.4,"3,190.40",544.9,CA,San Francisco
"San Rafael, CA M.D.",197.3,2.3,21.7,56.4,116.9,"2,013.50",414.1,"1,342.40",257.1,CA,San Rafael
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",251.5,2.3,29.6,80.1,139.6,"2,316.70",438.9,"1,406.30",471.4,CA,San Jose
"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",403.3,1.1,29.2,27.4,345.7,"2,413.30",480.8,"1,744.40",188.1,CA,San Luis Obispo
"Santa Cruz-Watsonville, CA M.S.A.",427.8,2.2,43.1,101.9,280.5,"3,390.60",534.4,"2,431.00",425.2,CA,Santa Cruz
"Santa Maria-Santa Barbara, CA M.S.A.",322.2,4,43.6,64.1,210.4,"2,105.00",411.5,"1,455.90",237.6,CA,Santa Maria
"Santa Rosa, CA M.S.A.",376.7,1.8,50.8,59.5,264.6,"1,973.50",347.3,"1,421.50",204.6,CA,Santa Rosa
"Savannah, GA M.S.A.",400.5,15,22.4,157.8,205.2,"3,313.80",684.2,"2,283.90",345.7,GA,Savannah
"Seattle-Tacoma-Bellevue, WA M.S.A.2",324.1,3,31.6,103.8,185.7,"3,852.20",768.1,"2,614.90",469.1,WA,Seattle
"Seattle-Bellevue-Everett, WA M.D.2",290,2.7,27.8,101.1,158.4,"3,865.40",732.3,"2,671.50",461.7,WA,Seattle
"Tacoma-Lakewood, WA M.D.",441,4,44.4,113.1,279.5,"3,806.70",891.1,"2,420.80",494.8,WA,Tacoma
"Sebastian-Vero Beach, FL M.S.A.",265.6,1.4,24.5,27.2,212.6,"2,411.00",480.3,"1,828.80",101.9,FL,San Sebastian
"Sebring, FL M.S.A.",341.7,5.1,38.5,56.8,241.3,"2,739.40",633.6,"1,994.20",111.5,FL,
"Sheboygan, WI M.S.A.",174.5,2.6,26,16.5,129.4,"1,569.70",159.7,"1,363.90",46,WI,
