HighCostLowGraduation,LowCostLowGraduation,LowCostHighGraduation,HighCostHighGraduation
139144.0,118684.0,139287.0,133951.0
139658.0,118718.0,139579.0,134024.0
140003.0,118772.0,139719.0,134097.0
140447.0,118912.0,139904.0,134112.0
140553.0,118930.0,139931.0,134130.0
140696.0,118976.0,140164.0,134228.0
140827.0,119067.0,140234.0,134291.0
140951.0,119137.0,140252.0,134307.0
141060.0,119164.0,140340.0,134714.0
141848.0,119216.0,140818.0,135142.0
142054.0,119331.0,140872.0,135267.0
143048.0,120290.0,140988.0,135407.0
143084.0,120342.0,141015.0,135416.0
143358.0,120421.0,141185.0,135522.0
143552.0,120953.0,141237.0,136048.0
143695.0,120971.0,141264.0,136109.0
144485.0,121044.0,141361.0,136765.0
144740.0,121363.0,141468.0,136826.0
145406.0,121619.0,141486.0,137023.0
145433.0,121707.0,141644.0,137120.0
145646.0,121886.0,142090.0,137272.0
146481.0,121901.0,142276.0,137351.0
146621.0,122180.0,142337.0,137713.0
146719.0,122205.0,142461.0,137777.0
147369.0,122339.0,142887.0,138132.0
147396.0,122375.0,143464.0,138479.0
147660.0,122384.0,144281.0,138497.0
148849.0,122597.0,144351.0,138600.0
149505.0,122658.0,144467.0,138655.0
149639.0,122746.0,144883.0,138664.0
150066.0,122755.0,145372.0,138822.0
150163.0,122791.0,145424.0,138938.0
150400.0,122889.0,145460.0,139092.0
150534.0,122977.0,145497.0,139153.0
151537.0,123013.0,145619.0,139393.0
151801.0,123217.0,145770.0,139755.0
152318.0,123299.0,146339.0,139861.0
152415.0,123341.0,146393.0,139940.0
152530.0,123484.0,146667.0,139959.0
153108.0,123509.0,146676.0,139995.0
153126.0,123527.0,146816.0,141325.0
153144.0,123563.0,146825.0,141574.0
153250.0,123800.0,147013.0,141608.0
153269.0,124113.0,147165.0,141945.0
153834.0,125028.0,147536.0,142179.0
154101.0,125091.0,147703.0,142285.0
154235.0,125170.0,147749.0,142294.0
154350.0,125462.0,147776.0,142407.0
154527.0,125471.0,147828.0,142416.0
154712.0,125499.0,148131.0,142489.0
155070.0,126076.0,148140.0,142522.0
155283.0,126119.0,148177.0,142869.0
155973.0,126207.0,148335.0,142878.0
156134.0,126289.0,148399.0,143118.0
156213.0,126562.0,148405.0,143181.0
156286.0,126580.0,148487.0,143376.0
156408.0,126711.0,148584.0,143473.0
157270.0,126748.0,148627.0,143491.0
157809.0,126863.0,149222.0,143516.0
158246.0,126942.0,149310.0,143534.0
158723.0,127185.0,149514.0,143543.0
159197.0,127200.0,149772.0,144050.0
160409.0,127389.0,150251.0,144573.0
160524.0,127565.0,150710.0,144795.0
160755.0,127617.0,150774.0,144892.0
161208.0,127732.0,151102.0,144962.0
161299.0,127778.0,151166.0,144971.0
161457.0,127820.0,151263.0,145099.0
161518.0,127884.0,151290.0,145239.0
161776.0,127909.0,151494.0,145309.0
162371.0,128106.0,151500.0,145600.0
162760.0,128258.0,151519.0,145637.0
162982.0,128391.0,151616.0,145691.0
163028.0,128577.0,151625.0,145725.0
163046.0,129367.0,151661.0,145813.0
163295.0,129534.0,151777.0,146427.0
163462.0,129543.0,151786.0,146454.0
163736.0,129695.0,151810.0,146612.0
163976.0,129729.0,151944.0,146700.0
164058.0,129756.0,152275.0,146791.0
164216.0,129808.0,152363.0,146807.0
164562.0,130004.0,152497.0,147244.0
164580.0,130040.0,152567.0,147341.0
164678.0,130217.0,152992.0,147642.0
164739.0,130396.0,153001.0,147679.0
164748.0,130606.0,153278.0,147767.0
164933.0,130891.0,153366.0,147819.0
164988.0,130907.0,153375.0,147970.0
165334.0,130916.0,153409.0,148098.0
165662.0,132374.0,153418.0,148496.0
165671.0,132408.0,153621.0,148955.0
165699.0,132675.0,153861.0,149204.0
165936.0,132693.0,153977.0,149231.0
166009.0,132709.0,154004.0,149499.0
166018.0,132851.0,154022.0,149550.0
166452.0,133021.0,154332.0,149781.0
166656.0,133386.0,154493.0,150136.0
