,Troy,Shirley,Pierce,Jeff,Britta,Annie,Abed
Abed,0.19444444444444445,0.1539855072463768,0.15947467166979362,0.17777777777777778,0.14505119453924914,0.1528046421663443,0.0
Annie,0.1527777777777778,0.17028985507246377,0.1425891181988743,0.1523809523809524,0.14334470989761092,0.0,0.14157706093189965
Britta,0.16319444444444445,0.18840579710144928,0.16322701688555347,0.20952380952380953,0.0,0.16247582205029013,0.15232974910394265
Jeff,0.16666666666666666,0.16666666666666666,0.19136960600375236,0.0,0.22525597269624573,0.18568665377176016,0.2007168458781362
Pierce,0.16666666666666666,0.15760869565217392,0.0,0.1619047619047619,0.14846416382252559,0.1470019342359768,0.15232974910394265
Shirley,0.15625,0.0,0.16322701688555347,0.14603174603174604,0.17747440273037543,0.18181818181818182,0.15232974910394265
Troy,0.0,0.16304347826086957,0.1801125703564728,0.1523809523809524,0.16040955631399317,0.1702127659574468,0.2007168458781362
